ds,call_center,target
2019-05-20,Call center 2,24342.0
2019-05-21,Call center 2,21510.0
2019-05-21,Call center 1,3766.0
2019-05-22,Call center 1,7897.0
2019-05-22,Call center 2,13847.0
2019-05-23,Call center 1,1290.0
2019-05-23,Call center 2,19134.0
2019-05-24,Call center 3,0.0
2019-05-24,Call center 1,5154.0
2019-05-24,Call center 2,14819.0
2019-05-25,Call center 3,0.0
2019-05-25,Call center 1,10956.0
2019-05-25,Call center 2,35.0
2019-05-26,Call center 1,17.0
2019-05-27,Call center 1,4131.0
2019-05-27,Call center 2,21842.0
2019-05-28,Call center 1,3696.0
2019-05-28,Call center 2,20270.0
2019-05-28,Call center 3,0.0
2019-05-29,Call center 2,18452.0
2019-05-29,Call center 3,0.0
2019-05-29,Call center 1,3594.0
2019-05-30,Call center 1,10.0
2019-05-30,Call center 2,27.0
2019-05-31,Call center 3,1.0
2019-05-31,Call center 1,160.0
2019-05-31,Call center 2,22272.0
2019-06-01,Call center 1,10115.0
2019-06-01,Call center 2,54.0
2019-06-02,Call center 1,14.0
2019-06-03,Call center 1,138.0
2019-06-03,Call center 2,29347.0
2019-06-04,Call center 1,114.0
2019-06-04,Call center 2,24393.0
